Kode Produk,Nama Produk,Kode Variasi,Nama Variasi,Harga,Stok
13914451667,kursi makan lipat kado bayi crown snuggle babyshop depok,1.31E+11,Pink,285000,11
13914451667,kursi makan lipat kado bayi crown snuggle babyshop depok,1.31E+11,Hijau,285000,10
13914451667,kursi makan lipat kado bayi crown snuggle babyshop depok,1.31E+11,Kuning,285000,0
13376431333,MODEL TERBARU Kursi meja makan bayi lipat SUGAR BABY original booster seat Hello Bear toko bayi depok,1.42E+11,"Pink,Gosend NoBubble Wrap",259000,6
13376431333,MODEL TERBARU Kursi meja makan bayi lipat SUGAR BABY original booster seat Hello Bear toko bayi depok,1.42E+11,"Pink,Tambah Bubble Wrap",265000,5
13303987396,Piano Playmat Proyektor Merk Sugar Baby,2.27E+11,Hijau,221000,12
13303987396,Piano Playmat Proyektor Merk Sugar Baby,2.27E+11,Pink,221000,9
13303987396,Piano Playmat Proyektor Merk Sugar Baby,2.27E+11,Biru,221000,10
12931803647,Jaket bayi setelan celana panjang import toko baby shop depok,85401982204,,110000,11
12576434644,8in1 Gift Parcel Bayi Import,1.95E+11,"6-9 bln,Girl",141000,6
12576434644,8in1 Gift Parcel Bayi Import,1.95E+11,"3-6 bln,Boy",141000,6
12576434644,8in1 Gift Parcel Bayi Import,1.95E+11,"3-6 bln,Unisex",141000,6
12576434644,8in1 Gift Parcel Bayi Import,1.95E+11,"3-6 bln,Girl",141000,6
12576434644,8in1 Gift Parcel Bayi Import,1.95E+11,"0-3 bln,Boy",141000,6
12576434644,8in1 Gift Parcel Bayi Import,1.95E+11,"0-3 bln,Unisex",141000,6
12576434644,8in1 Gift Parcel Bayi Import,1.95E+11,"0-3 bln,Girl",141000,6
12576434644,8in1 Gift Parcel Bayi Import,1.95E+11,"6-9 bln,Boy",141000,6
12576434644,8in1 Gift Parcel Bayi Import,1.95E+11,"6-9 bln,Unisex",141000,6
12476434457,8in1 improt Baby Baju Gift Set motif boy kemasan tile parcel kado bayi baby hampers baju celana topi slaber jumper bayi toko bayi online depok jakarta selatan,1.42E+11,0-3 bln,141000,10
12476434457,8in1 improt Baby Baju Gift Set motif boy kemasan tile parcel kado bayi baby hampers baju celana topi slaber jumper bayi toko bayi online depok jakarta selatan,1.42E+11,3-6 bln,141000,10
12476434457,8in1 improt Baby Baju Gift Set motif boy kemasan tile parcel kado bayi baby hampers baju celana topi slaber jumper bayi toko bayi online depok jakarta selatan,1.42E+11,6-9 bln,141000,10
12353337847,Activity Walker 10in1 Merk Sugar Baby,78121154538,"Merah,GOSEND Tanpa Bubble",325000,0
12353337847,Activity Walker 10in1 Merk Sugar Baby,78121154539,"Pink,Tambah Bubble Wrap",332000,10
12353337847,Activity Walker 10in1 Merk Sugar Baby,78121154540,"Pink,GOSEND Tanpa Bubble",325000,10
12353337847,Activity Walker 10in1 Merk Sugar Baby,78121154541,"Hijau,GOSEND Tanpa Bubble",325000,0
12353337847,Activity Walker 10in1 Merk Sugar Baby,78121154542,"Merah,Tambah Bubble Wrap",332000,0
12353337847,Activity Walker 10in1 Merk Sugar Baby,78121154535,"Orange,Tambah Bubble Wrap",332000,0
12353337847,Activity Walker 10in1 Merk Sugar Baby,78121154536,"Orange,GOSEND Tanpa Bubble",325000,0
12353337847,Activity Walker 10in1 Merk Sugar Baby,78121154537,"Hijau,Tambah Bubble Wrap",332000,0
12307806440,Kursi Makan 6in1 Merk Sugar Baby,2.26E+11,K Chair Beige,396000,0
12307806440,Kursi Makan 6in1 Merk Sugar Baby,1.59E+11,K chair biru,396000,8
12307806440,Kursi Makan 6in1 Merk Sugar Baby,1.68E+11,K chair pink,396000,8
11373603944,Kertas Kado Bayi,95950904861,,3000,967
10846064438,8in1 Gift Parcel Bayi Import,1.17E+11,"Kapal,6-9 bulan",141000,1
10846064438,8in1 Gift Parcel Bayi Import,2.27E+11,"Bulan,3-6 bln",139000,6
10846064438,8in1 Gift Parcel Bayi Import,99622798209,"Bunga,6-9 bulan",141000,6
10846064438,8in1 Gift Parcel Bayi Import,89058173358,"Biru Dino,3-6 bln",141000,5
10846064438,8in1 Gift Parcel Bayi Import,1.97E+11,"Sheep,3-6 bln",135000,0
10846064438,8in1 Gift Parcel Bayi Import,1.30E+11,"Mobil balap biru,0-3 bulan",139000,0
10846064438,8in1 Gift Parcel Bayi Import,1.17E+11,"Kapal,0-3 bulan",141000,5
10846064438,8in1 Gift Parcel Bayi Import,89058173360,"Biru Dino,6-9 bulan",141000,5
10846064438,8in1 Gift Parcel Bayi Import,2.27E+11,"Pink zebra,6-9 bulan",141000,5
10846064438,8in1 Gift Parcel Bayi Import,2.27E+11,"Pink zebra,3-6 bln",141000,6
10846064438,8in1 Gift Parcel Bayi Import,1.17E+11,"Kapal,3-6 bln",135000,0
10846064438,8in1 Gift Parcel Bayi Import,1.97E+11,"Sheep,0-3 bulan",141000,5
10846064438,8in1 Gift Parcel Bayi Import,99622798208,"Tuxedo,3-6 bln",141000,4
10846064438,8in1 Gift Parcel Bayi Import,1.97E+11,"Sheep,6-9 bulan",135000,0
10846064438,8in1 Gift Parcel Bayi Import,2.27E+11,"Pink zebra,0-3 bulan",141000,5
10846064438,8in1 Gift Parcel Bayi Import,1.71E+11,"Kuning,0-3 bulan",135000,0
10846064438,8in1 Gift Parcel Bayi Import,1.71E+11,"Kuning,3-6 bln",141000,1
10846064438,8in1 Gift Parcel Bayi Import,99622798207,"Bunga,0-3 bulan",141000,5
10846064438,8in1 Gift Parcel Bayi Import,2.27E+11,"Bulan,0-3 bulan",141000,6
10846064438,8in1 Gift Parcel Bayi Import,2.27E+11,"Bulan,6-9 bulan",141000,5
10846064438,8in1 Gift Parcel Bayi Import,1.30E+11,"Mobil balap biru,6-9 bulan",135000,0
10846064438,8in1 Gift Parcel Bayi Import,99622798212,"Tuxedo,6-9 bulan",141000,0
10846064438,8in1 Gift Parcel Bayi Import,1.30E+11,"Mobil balap biru,3-6 bln",135000,0
10846064438,8in1 Gift Parcel Bayi Import,99622798211,"Bunga,3-6 bln",141000,6
10846064438,8in1 Gift Parcel Bayi Import,89058173359,"Biru Dino,0-3 bulan",140000,4
10846064438,8in1 Gift Parcel Bayi Import,1.71E+11,"Kuning,6-9 bulan",141000,5
10846064438,8in1 Gift Parcel Bayi Import,99622798210,"Tuxedo,0-3 bulan",141000,1
10349320196,selimut lembut set boneka toko bayi import depok,94895505429,Biru muda,74500,0
10349320196,selimut lembut set boneka toko bayi import depok,94895505428,Pink,74500,20
9621778507,Baby Walker Minicar Merk Sugar Baby,1.88E+11,Circus hijau,232000,7
9621778507,Baby Walker Minicar Merk Sugar Baby,2.23E+11,Pink,232000,8
9621778507,Baby Walker Minicar Merk Sugar Baby,2.23E+11,Biru,232000,2
9621778507,Baby Walker Minicar Merk Sugar Baby,2.23E+11,Putih,232000,8
9621778507,Baby Walker Minicar Merk Sugar Baby,1.88E+11,Circus biru,232000,8
9315924333,Bak Kursi mandi lipat bayi portabel sugar baby depok,63715732807,Biru,159000,0
9315924333,Bak Kursi mandi lipat bayi portabel sugar baby depok,63715732808,Hijau,159000,0
9315924333,Bak Kursi mandi lipat bayi portabel sugar baby depok,63715732809,Pink,145000,5
6780924298,Kursi Goyang Bayi 10in1 Merk Sugar Baby,2.50E+11,Soccer team,384000,6
6780924298,Kursi Goyang Bayi 10in1 Merk Sugar Baby,73980834491,Pink,384000,7
6780924298,Kursi Goyang Bayi 10in1 Merk Sugar Baby,1.39E+11,Super Hero,384000,0
6780924298,Kursi Goyang Bayi 10in1 Merk Sugar Baby,1.68E+11,Lovely day,384000,0
6172863789,Kartu Ucapan Kado Bayi,23717416687,"Kartu Ucapan,Girl",3900,80
6172863789,Kartu Ucapan Kado Bayi,23717416688,"Kartu Ucapan,Boy",3900,88
6172863789,Kartu Ucapan Kado Bayi,23717416692,"Kertas Kado,Unisex",3000,100
6172863789,Kartu Ucapan Kado Bayi,1.68E+11,"Kartu kecil,Girl",2000,149
6172863789,Kartu Ucapan Kado Bayi,1.68E+11,"Kartu kecil,Unisex",2000,159
6172863789,Kartu Ucapan Kado Bayi,1.68E+11,"Kartu kecil,Boy",2000,168
6172863789,Kartu Ucapan Kado Bayi,23717416690,"Kertas Kado,Girl",3000,85
6172863789,Kartu Ucapan Kado Bayi,23717416689,"Kartu Ucapan,Unisex",3500,93
6172863789,Kartu Ucapan Kado Bayi,23717416691,"Kertas Kado,Boy",3000,86
5737556906,Masker medis anak usia 4-10 tahun TK SD,90877158153,Boy,65000,10
5737556906,Masker medis anak usia 4-10 tahun TK SD,90877158154,Girl,65000,10
4672372812,Kursi makan lipat bayi Sugarbaby folded booster seat depok murah,23678567290,Krem,275000,0
4672372812,Kursi makan lipat bayi Sugarbaby folded booster seat depok murah,23678567288,Merah,275000,5
4672372812,Kursi makan lipat bayi Sugarbaby folded booster seat depok murah,23678567289,Biru,275000,0
3872454738,Mainan matras bayi piano playmate Bebe Smart depok,32974608514,"Pink,All size",185000,5
3872454738,Mainan matras bayi piano playmate Bebe Smart depok,32974608513,"Ungu,All size",185000,0
2895019313,"Bando, Bandana, dan Kaos Kaki Bayi Motif Bunga",42639517696,,30000,9
2810728527,Mainan Rattle Tabung Motif Animal,6982761026,Model A,42000,5
2810728527,Mainan Rattle Tabung Motif Animal,6982761027,Model B,42000,5
2810728527,Mainan Rattle Tabung Motif Animal,6982761028,Model C,42000,4
2810728527,Mainan Rattle Tabung Motif Animal,6982761029,MODEL D,42000,5
2810728527,Mainan Rattle Tabung Motif Animal,6982761030,Model E,42000,5
