Bulan,Produk_Variasi,Total_Jumlah,Total_Harga_Setelah_Diskon,Total_Penjualan_IDR,Total_Pesanan,Penjualan_per_Pesanan,Produk_Dilihat,Total_Pengunjung,Tingkat_Konversi,Pesanan_Dibatalkan,Penjualan_Dibatalkan,Pesanan_Dikembalikan,Penjualan_Dikembalikan,Pembeli,Total_Pembeli_Baru,Total_Pembeli_Saat_Ini,Total_Potensi_Pembeli,Tingkat_Pembelian_Berulang,Voucher Ditanggung Shopee,Potongan Koin Shopee,Ongkos Kirim Dibayar oleh Pembeli,Estimasi Potongan Biaya Pengiriman,Ongkos Kirim Pengembalian Barang,Total Pembayaran,Perkiraan Ongkos Kirim,Harga Awal,Berat Produk,Total Berat,Voucher Ditanggung Penjual,ID_Produk,Stok_Awal,Stok_Akhir,Pending,Stok_Status,is_holiday_month,Stok_Status_Encoded,Year,Month,Quarter,DaysinMonth,Mean_Total_Jumlah_per_Product,MoM_Growth_Total_Jumlah,MoM_Growth_Total_Penjualan,Seasonal_Index,Price_Level,Stock_Turnover,Stock_Coverage,View_to_Sales_Ratio,Visitor_to_Sales_Ratio,Visitor_to_View_Ratio,Rolling_3M_Total_Jumlah,Rolling_3M_Penjualan,Rolling_3M_View,Trend_Total_Jumlah,Quarter_1,Quarter_2,Quarter_3,Quarter_4,Lag_1_Total_Jumlah,Lag_1_Penjualan,Lag_1_Views,Lag_1_Stock_Turnover,Lag_2_Total_Jumlah,Lag_2_Penjualan,Lag_2_Views,Lag_2_Stock_Turnover,Lag_3_Total_Jumlah,Lag_3_Penjualan,Lag_3_Views,Lag_3_Stock_Turnover,Month_Sin,Month_Cos,Price_View_Interaction,Stock_Demand_Interaction,Date_Index
2023-09,"8in1 Gift Parcel Bayi Import - Motif Kelinci, Usia 6–9 Bulan",2,270000,270000,4,74360.61750000001,129,41,8.015833333333331,1,28.77541761557342,0,3.1630921731396073,3,3,2,8,8.333333333333334,5.541,416,0.0,10.0,0,132.976,10.0,135.0,400,420,0,34.0,1.0,0.0,1.0,Understock,True,3,2023,9,3,30,2,0.0,0.0,1.0,1.0,4.0,0.0,64.5,20.5,0.3178294573643411,2.0,270000.0,129.0,0.0,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,129.0,0.0,2023-09
2024-05,"8in1 Gift Parcel Bayi Import - Motif Mobil Balap Biru, Usia 0–3 Bulan",1,135000,135000,1,63301.069166666675,56,17,4.909166666666667,1,3.738427734375,0,0.0,1,1,1,3,2.7775,6.75,32062,0.0,39.0,0,98.15,39.0,135.0,400,400,0,75.0,1.0,0.0,0.0,Optimal,True,1,2024,5,2,31,1,0.0,0.0,1.0,1.0,2.0,0.0,56.0,17.0,0.30357142857142855,1.0,135000.0,56.0,0.0,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,-0.8660254037844387,56.0,0.0,2024-05
2024-08,"8in1 Gift Parcel Bayi Import - Motif Mobil Balap Biru, Usia 0–3 Bulan",1,135000,135000,1,78430.4375,48,13,8.850833333333336,0,0.0,0,0.0,1,1,1,3,0.0,6.75,32062,0.0,39.0,0,98.15,39.0,135.0,400,400,0,75.0,14.0,13.0,0.0,Kurang Optimal,True,0,2024,8,3,31,1,0.0,0.0,1.0,1.0,0.07407407407407407,13.0,48.0,13.0,0.2708333333333333,1.0,135000.0,52.0,1.0,False,False,True,False,1.0,135000.0,56.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844385,-0.5000000000000004,48.0,169.0,2024-08
2024-12,"8in1 Gift Parcel Bayi Import - Motif Mobil Balap Biru, Usia 0–3 Bulan",1,139000,139000,1,79938.45833333333,149,39,2.7525,1,101.08061784664444,0,0.0,1,1,1,11,0.0,6.75,32062,0.0,39.0,0,98.15,39.0,135.0,400,400,0,75.0,15.0,14.0,0.0,Kurang Optimal,True,0,2024,12,4,31,1,0.0,0.029629629629629672,1.0,1.0,0.06896551724137931,14.0,149.0,39.0,0.26174496644295303,1.0,136333.33333333334,84.33333333333333,1.0,False,False,False,True,1.0,135000.0,48.0,0.07407407407407407,1.0,135000.0,56.0,2.0,0.0,0.0,0.0,0.0,-2.4492935982947064e-16,1.0,149.0,546.0,2024-12
2024-09,"8in1 Gift Parcel Bayi Import - Motif Sheep, Usia 0–3 Bulan",1,135000,135000,1,74032.2775,33,10,6.925,0,0.0,0,0.13780924182886298,1,1,1,2,0.0,26.12,255,0.0,18.0,0,303.825,18.0,135.0,400,1560,0,101.0,11.0,10.0,0.0,Kurang Optimal,True,0,2024,9,3,30,1,0.0,0.0,1.0,1.0,0.09523809523809523,10.0,33.0,10.0,0.30303030303030304,1.0,135000.0,33.0,0.0,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,33.0,100.0,2024-09
2024-03,"8in1 Gift Parcel Bayi Import - Motif Sheep, Usia 3–6 Bulan",1,135000,135000,1,32054.74166666667,55,23,4.4775,1,12.747463934686845,0,0.0,1,1,1,4,2.0833333333333335,0.0,33750,25.0,0.0,0,127.25,25.0,135.0,400,400,0,61.0,1.0,0.0,0.0,Optimal,True,1,2024,3,1,31,1,0.0,0.0,1.0,1.0,2.0,0.0,55.0,23.0,0.41818181818181815,1.0,135000.0,55.0,0.0,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,55.0,0.0,2024-03
2024-06,"8in1 Gift Parcel Bayi Import - Motif Sheep, Usia 3–6 Bulan",1,135000,135000,1,72437.5275,71,21,5.391666666666667,0,0.0,0,0.0,1,1,1,4,0.0,0.0,33750,25.0,0.0,0,127.25,25.0,135.0,400,400,0,61.0,23.0,22.0,0.0,Overstock,True,2,2024,6,2,30,1,0.0,0.0,1.0,1.0,0.044444444444444446,22.0,71.0,21.0,0.29577464788732394,1.0,135000.0,63.0,1.0,False,True,False,False,1.0,135000.0,55.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,71.0,462.0,2024-06
2024-10,"8in1 Gift Parcel Bayi Import - Motif Tuxedo, Usia 0–3 Bulan",1,139000,139000,1,93430.91833333333,32,9,9.75,1,3.6801705451438993,0,0.0,1,1,1,2,0.0,6.95,0,0.0,36.5,0,133.05,36.5,139.0,400,400,0,107.0,90.0,89.0,0.0,Overstock,False,2,2024,10,4,31,1,0.0,0.0,1.0,1.0,0.0111731843575419,89.0,32.0,9.0,0.28125,1.0,139000.0,32.0,0.0,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844386,0.5000000000000001,32.0,801.0,2024-10
2024-10,"8in1 Gift Parcel Bayi Import - Motif Tuxedo, Usia 6–9 Bulan",2,278000,278000,2,93430.91833333333,65,19,9.75,1,7.360341090287799,0,0.0,2,2,1,5,0.0,2.78,1335,0.0,9.0,0,137.234,9.0,139.0,400,400,0,108.0,9.0,7.0,0.0,Kurang Optimal,False,0,2024,10,4,31,2,0.0,0.0,1.0,1.0,0.25,3.5,32.5,9.5,0.2923076923076923,2.0,278000.0,65.0,0.0,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844386,0.5000000000000001,65.0,66.5,2024-10
2023-11,"8in1 Gift Parcel Bayi Import - Motif Unicorn, Usia 0–3 Bulan",1,135000,135000,1,65147.0225,51,20,5.86,1,15.771009819515767,1,5.683782865663157,1,1,1,4,2.0833333333333335,0.0,0,0.0,21.0,0,141.4,21.0,135.0,400,400,0,42.0,65.0,64.0,0.0,Overstock,False,2,2023,11,4,30,1,0.0,0.0,1.0,1.0,0.015503875968992248,64.0,51.0,20.0,0.39215686274509803,1.0,135000.0,51.0,0.0,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000004,0.8660254037844384,51.0,1280.0,2023-11
