ID_Produk,Bulan,Produk_Variasi,Stok_Awal,Total_Jumlah,Stok_Akhir,Pending,Stok_Status
15,2023-10,Toilet Training Seat Merk Sugar Baby - Warna Biru,23,1,22,0,Overstock
40,2023-11,"8in1 Gift Parcel Bayi Import - Motif Gajah Hijau, Usia 0–3 Bulan",9,1,8,0,Kurang Optimal
41,2023-11,"8in1 Gift Parcel Bayi Import - Motif Kelinci, Usia 0–3 Bulan",11,1,10,0,Kurang Optimal
42,2023-11,"8in1 Gift Parcel Bayi Import - Motif Unicorn, Usia 0–3 Bulan",65,1,64,0,Overstock
43,2023-11,"8in1 Gift Parcel Bayi Import - Motif Unicorn, Usia 6–9 Bulan",47,1,46,0,Overstock
17,2023-11,8in1 Gift Parcel Bayi Import - Usia 3–6 Bulan,35,1,34,0,Overstock
4,2023-11,"Diapers Renang Anak Merk WyethUs - Warna Biru, Ukuran L",69,38,31,0,Overstock
5,2023-11,"Diapers Renang Anak Merk WyethUs - Warna Biru, Ukuran M",4,8,0,4,Understock
6,2023-11,"Diapers Renang Anak Merk WyethUs - Warna Biru, Ukuran XL",11,15,0,4,Understock
7,2023-11,"Diapers Renang Anak Merk WyethUs - Warna Pink, Ukuran L",101,36,65,0,Overstock
8,2023-11,"Diapers Renang Anak Merk WyethUs - Warna Pink, Ukuran M",72,16,56,0,Overstock
19,2023-11,"Diapers Renang Anak Merk WyethUs - Warna Pink, Ukuran XL",17,18,0,1,Understock
44,2023-11,Handuk Renang Anak Hoodie Ponco - Gender Girl,92,1,91,0,Overstock
9,2023-11,Handuk Renang Anak Hoodie Ponco - Tidak ada variasi,1,1,0,0,Optimal
11,2023-11,"Kartu Ucapan Kado Bayi - Kartu Ucapan, Girl",41,1,40,0,Overstock
13,2023-11,Kertas Kado Bayi - Tidak ada variasi,81,2,79,0,Overstock
45,2023-11,Kursi Lipat Traveling Bayi Merk Sugar Baby  - Warna Biru,8,1,7,0,Kurang Optimal
35,2023-11,Piano Playmat Merk Sugar Baby - Warna Pink,19,1,18,0,Kurang Optimal
